fecha,summary,description
2026-04-17T00:00:00Z,🔬 TRIAC – Fabricación 13 kg / 866 u (hecho),"TRIAC_BATCH – Suero Triactive Retinoid+NAD

📦 Lote: 13 kg → 866 u (envase 15 ml) ✅ Fabricado
📊 Stock post: ~866 u (~47 días)
⏭️ Próxima: May 19 (trigger 15 días)"
2026-04-20T00:00:00Z,💋 GLOSSMERLOT – Fabricación 1.2 kg / 120 u (hecho),"GLOSS_BATCH – Lip Sérum Merlot

📦 Lote: 1.2 kg → 120 u (envase 10 ml) ✅ Fabricado
📊 Stock post: ~120 u (~44 días)
⏭️ Próxima: May 21 (trigger 20 días)"
2026-04-20T00:00:00Z,💋 GLOSSMALVA – Fabricación 1.2 kg / 120 u (hecho),"GLOSS_BATCH – Lip Sérum Malva

📦 Lote: 1.2 kg → 120 u (envase 10 ml) ✅ Fabricado
📊 Stock post: ~120 u (~33 días)
⏭️ Próxima: May 10 (trigger 20 días)"
2026-04-22T00:00:00Z,🧴 EMLIM – Fabricación 20 kg / 133 u (hecho),"EMLIM – Emulsión Limpiadora

📦 Lote: 20 kg → 133 u (envase 150 ml) ✅ Fabricado
📊 Stock post: ~158 u (~22 días desde envasado Apr 28)
⏭️ Próxima: May 22 (lote de 90 días)"
2026-04-22T00:00:00Z,👁️ CMULP – Fabricación 9 kg / 600 u (hecho),"CMULP – Contorno Multipéptidos

📦 Lote: 9 kg → 600 u (envase 15 ml) ✅ Fabricado
📊 Stock post (Apr 28): ~632 u (~92 días)
⏭️ Próxima: Jul 4 (trigger 25 días, ciclo 65 días)"
2026-04-23T00:00:00Z,🧪 NPHA – Fabricación batch 12 kg,"NPHA_BATCH – Suero Nova-PHA

📦 Lote: 12 kg total
   • NPHA10 (10ml): ~181 u (1.8 kg) → 90 días
   • NPHA30 (30ml): ~318 u (9.5 kg) → 90 días
   Total: ~580 unidades

📊 Stock post-producción:
   • NPHA10: ~27 u + 181 = 208 u (90 días)
   • NPHA30: ~54 u + 318 = 372 u (90 días)

⏭️ Próxima producción: Jun 27 (trigger 25 días)"
2026-04-23T00:00:00Z,🔵 FAB — CRETT | Contorno Retinal | 9 kg,"FABRICACIÓN — Contorno Retinal 15ml
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📦 Granel: 9 kg
🧴 Presentación: 15ml
🔢 Unidades estimadas: ~600 und
📊 Stock actual: 233 und
📦 Stock total post-fab: ~833 und
📅 Cobertura: ~81 días (hasta ~12 Jul 2026)
⏰ Próximo trigger: ~18 Jun 2026

── NOTAS ──
Tasa de venta: 10.3 und/día
Envase al día siguiente (Vie 24 Abr)
Acondicionamiento: Lun 27 Abr"
2026-04-24T00:00:00Z,🧪 NPHA / CRETT – Envasado + Micro QC,Envasado + envío muestras microbiología: NPHA (12 kg) + CRETT (9 kg)
2026-04-28T00:00:00Z,💋 GLOSSN – Fabricación 5 kg / 500 u,"GLOSS_BATCH – Lip Sérum Translúcido

📦 Lote: 5 kg → 500 u (envase 10 ml)
📊 Stock post: ~536 u (~108 días)
⏭️ Próxima: Jul 26 (trigger 20 días)"
2026-04-28T00:00:00Z,🔵 FAB — LBHA | Limpiador BHA 2% | 200 kg,"FABRICACIÓN — Limpiador Facial BHA 2% | 150ml
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📦 Granel: 200 kg
🧴 Presentación: 150ml
🔢 Unidades totales: ~1,333 und

── DISTRIBUCIÓN ──
👤 Fernando Mesa: 500 und
🏢 ÁNIMUS LAB: 833 und

── STOCK ÁNIMUS ──
📊 Stock actual: 717 und
📦 Stock post-fab: ~1,550 und
📅 Cobertura: ~53 días
⏰ Próximo trigger: ~26 May 2026

── NOTAS ──
Tasa de venta: 29.0 und/día
Envasar: Mié 29"
2026-04-29T00:00:00Z,"🧴 GELH – Fabricación 1,250 u / 50 kg","GELH – Gel Hidratante

📦 Lote: 50 kg → 1,250 unidades (envase 40 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • ~50 u restantes al lunes + 1,250 = ~1,300 u (~85 días)

⏭️ Próxima producción: Jun 26 (trigger 25 días)"
2026-04-30T00:00:00Z,💧 SAH – Fabricación 90 kg (SAH30 + SAH10),"SAH_BATCH – Suero Hialurónico

📦 Lote: 75 kg total
   • SAH (30ml):
   • SAH10 (10ml): ~1,200 u

📊 Stock post-producción:
   • SAH 30ml: ~2,589 u (~88 días)
   • SAH10: ~1,562 u (~539 días)

⏭️ Próxima: Jul 3 (trigger 25 días)"
2026-04-30T00:00:00Z,💡 HKJ – Fabricación 20 kg / 400 u,"HKJ – Emulsión Hidratante Iluminadora

📦 Lote: 20 kg → 400 unidades (envase 50 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • 0 u + 400 = 400 u (~81 días)

⏭️ Próxima producción: Jun 27 (trigger 20 días)"
2026-05-04T00:00:00Z,"🌿 LKJ – Fabricación ~160 kg / 1,069 u","LKJ – Limpiador Iluminador Ácido Kójico

📦 Lote: ~90 kg → ~1,069 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • ~128 u restantes + 1,069 = ~1,197 u (90 días)

⏭️ Próxima: Jul 1 (trigger 30 días, ciclo 60 días)"
2026-05-04T00:00:00Z,🚀 BOOSTER TENSOR – Lanzamiento 6 kg,"BOOSTER TENSOR – Nuevo Lanzamiento 🚀

📦 Lote: 6 kg
🏭 Destino: ÁNIMUS LAB

⚠️ Primer lote — sin historial de ventas aún.
Programar próxima producción una vez se establezcan ventas reales."
2026-05-07T00:00:00Z,💧 HidraBalance – Lanzamiento 33 kg / 659 u,"HidraBalance – Emulsión Hidratante (reemplaza CRB3BHA)

📦 Lote: 33 kg → 659 u (envase 50 ml)
📤 Distribución:
   • 20 u → Influencers (lanzamiento)
   • 639 u → ÁNIMUS LAB (stock 90 días)

📊 Tasa ventas estimada: 7.1 u/día
⏭️ Próxima producción: Jul 11 (trigger 25 días)"
2026-05-08T00:00:00Z,"🧬 SMULPP – Fabricación 30 kg / 1,000 u","SMULPP – Suero Multipéptidos

📦 Lote: 30 kg → 1,000 u (envase 30 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post: ~841 u restantes + 1,000 = ~1,841 u
⏭️ Próxima: Jun 1 (primer lunes de cada mes)"
2026-05-11T00:00:00Z,🍊 SVITC – Fabricación 23 kg (30ml + 15ml) c/45 días,"SVITC_BATCH – Suero Vitamina C+

📦 Lote: 23 kg total
   • SVITC33 (30ml): 20 kg → 667 u
   • SVITC3315 (15ml): 3 kg → 200 u

🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤15 días de stock
   • Tasa: SVITC33 13.0 u/día | SVITC3315 1.7 u/día
   • Ciclo fijo: cada 45 días"
2026-05-12T00:00:00Z,🧴 AZHC – Fabricación batch 20 kg,"AZHC_BATCH – Suero AZ Hybrid Clear

📦 Lote: 20 kg total
   • AZHC 15ml: 440 unidades (6.6 kg)
   • AZHC30 30ml: 446 unidades (13.4 kg)

📊 Stock post-producción:
   • AZHC 15ml: ~463 u (~122 días)
   • AZHC30 30ml: ~713 u (~75 días)

⏭️ Próxima producción: Jun 23 (trigger 15 días AZHC30)"
2026-05-13T00:00:00Z,🧴 CRCUREA – Fabricación ~100 kg (c/60 días),"CRCUREA – Crema Corporal ReNova Body

📦 Lote: ~100 kg → ~668 u (envase 150 ml)
📤 Distribución:
   • Fernando Mesa: 500 u (75 kg)
   • ÁNIMUS LAB: 168 u (25 kg)

📊 Lógica de stock:
   • Trigger: ≤20 días de stock
   • Tasa: 2.8 u/día
   • Ciclo: cada 60 días"
